Datum i vrijeme,Vrijeme,Naziv grada,Izlazak sunca (UTC),Zalazak sunca (UTC),Dio dana (d = dan / n = noc),Difuzno horizontalno suncevo zracenje (W/m^2),Direktno normalno suncevo zracenje (W/m^2),Globalno horizontalno suncevo zracenje (W/m^2),Procijenjeno_suncevo_zracenje,Solarni elevacioni ugao (stepeni),Solarni satni ugao (stepeni),UV indeks,Temperatura,Aparentna temperatura (°C),Relativna vlaznost (%),Temperatura rose (°C),Oblacnost (%),Vidljivost (km),Padavine (mm/h),Snijeg (mm/h),Pritisak (mb),Brzina vjetra (m/s),Smjer vjetra (stepeni)
2024-07-11:21,23:17:44,Grude,03:19,18:28,n,0,0,0,0,-19.75,-90,0,26,26.4,67,19.4,0,16,0,0,968,1.1,357
2024-07-11:21,23:32:44,Grude,03:19,18:28,n,0,0,0,0,-19.75,-90,0,25.1,25.5,71,19.4,0,16,0,0,968,1.2,347
2024-07-11:21,23:47:44,Grude,03:19,18:28,n,0,0,0,0,-19.75,-90,0,25.1,25.5,71,19.4,0,16,0,0,968,1.2,347
2024-07-11:21,00:02:45,Grude,03:19,18:28,n,0,0,0,0,-23.75,-90,0,25.3,25.6,69,19,0,16,0,0,968,1.3,338
2024-07-11:21,00:17:45,Grude,03:19,18:28,n,0,0,0,0,-23.75,-90,0,25.3,25.6,69,19,0,16,0,0,968,1.3,338
2024-07-11:22,00:32:45,Grude,03:19,18:28,n,0,0,0,0,-23.75,-90,0,24.6,24.9,70,18.6,0,16,0,0,968,1.1,338
2024-07-11:22,00:47:45,Grude,03:19,18:28,n,0,0,0,0,-23.75,-90,0,24.6,24.9,70,18.6,0,16,0,0,968,1.1,338
2024-07-11:22,01:02:45,Grude,03:19,18:28,n,0,0,0,0,-25.01,-90,0,24.6,24.9,70,18.6,0,16,0,0,968,1.1,338
2024-07-11:22,01:17:45,Grude,03:19,18:28,n,0,0,0,0,-25.01,-90,0,24.6,24.9,70,18.6,0,16,0,0,968,1.1,338
2024-07-11:23,01:32:45,Grude,03:19,18:28,n,0,0,0,0,-25.01,-90,0,24.2,24.5,70,18.3,0,16,0,0,967,1.3,354
2024-07-11:23,01:47:45,Grude,03:19,18:28,n,0,0,0,0,-25.01,-90,0,24.2,24.5,70,18.3,0,16,0,0,967,1.3,354
2024-07-11:23,02:02:45,Grude,03:19,18:28,n,0,0,0,0,-23.36,-90,0,24.2,24.5,70,18.3,0,16,0,0,967,1.3,354
2024-07-11:23,02:17:45,Grude,03:19,18:28,n,0,0,0,0,-23.36,-90,0,24.2,24.5,70,18.3,0,16,0,0,967,1.3,354
2024-07-12:00,02:32:45,Grude,03:19,18:28,n,0,0,0,0,-23.36,-90,0,23.9,24.2,70,18,0,16,0,0,967,1.3,352
2024-07-12:00,02:47:45,Grude,03:19,18:28,n,0,0,0,0,-23.36,-90,0,24.1,24.4,70,18.3,0,16,0,0,967,1.3,352
2024-07-12:00,03:02:45,Grude,03:19,18:28,n,0,0,0,0,-19.02,-90,0,24.1,24.4,70,18.3,0,16,0,0,967,1.3,352
2024-07-12:00,03:17:45,Grude,03:19,18:28,n,0,0,0,0,-19.02,-90,0,24.1,24.4,70,18.3,0,16,0,0,967,1.3,352
2024-07-12:01,03:32:45,Grude,03:19,18:28,n,0,0,0,0,-19.02,-90,0,23.4,23.7,72,18.1,0,16,0,0,967,1.5,347
2024-07-12:01,03:47:45,Grude,03:19,18:28,n,0,0,0,0,-19.02,-90,0,23.4,23.7,72,18.1,0,16,0,0,967,1.5,347
2024-07-12:01,04:02:45,Grude,03:19,18:28,n,0,0,0,0,-12.46,-90,0,23.4,23.7,72,18.1,0,16,0,0,967,1.5,347
2024-07-12:01,04:17:45,Grude,03:19,18:28,n,0,0,0,0,-12.46,-90,0,23.4,23.7,72,18.1,0,16,0,0,967,1.5,347
2024-07-12:02,04:32:45,Grude,03:19,18:28,n,0,0,0,0,-12.46,-90,0,23.1,23.3,73,17.9,0,16,0,0,967,1.5,353
2024-07-12:02,04:47:45,Grude,03:19,18:28,n,0,0,0,0,-12.46,-90,0,23.1,23.3,73,17.9,0,16,0,0,967,1.5,353
2024-07-12:02,05:02:45,Grude,03:19,18:28,n,0,0,0,0,-4.22,-90,0,23.1,23.3,73,17.9,0,16,0,0,967,1.5,353
2024-07-12:03,05:17:45,Grude,03:19,18:28,d,0,0,0,0,-4.22,-90,0,23.1,23.3,73,17.9,0,16,0,0,967,1.5,353
2024-07-12:03,05:32:45,Grude,03:19,18:28,d,0,0,0,0,-4.22,-90,0,22.9,23.2,74,18,0,16,0,0,967,1.5,354
2024-07-12:03,05:47:45,Grude,03:19,18:28,d,0,0,0,0,-4.22,-90,0,22.9,23.2,74,18,0,16,0,0,967,1.5,354
2024-07-12:03,06:02:45,Grude,03:19,18:28,d,34,294,52,52,5.23,-90,2,23,23.4,77,18.7,0,16,0,0,966,1.5,350
2024-07-12:04,06:17:45,Grude,03:20,18:28,d,34,294,52,52,5.23,-78.8,2,23,23.4,77,18.7,0,16,0,0,966,1.5,350
2024-07-12:04,06:32:45,Grude,03:20,18:28,d,34,294,52,52,5.23,-78.8,2,24.6,25.1,76,20,0,16,0,0,967,1.1,344
2024-07-12:04,06:47:45,Grude,03:20,18:28,d,34,294,52,52,5.23,-78.8,2,24.6,25.1,76,20,0,16,0,0,967,1.1,344
2024-07-12:04,07:02:45,Grude,03:20,18:28,d,65,580,213,213,15.48,-78.8,2,24.6,25.1,76,20,0,16,0,0,967,1.1,344
2024-07-12:04,07:17:45,Grude,03:20,18:28,d,65,580,213,213,15.48,-78.8,2,24.6,25.1,76,20,0,16,0,0,967,1.1,344
2024-07-12:05,07:32:46,Grude,03:20,18:28,d,65,580,213,213,15.48,-67.5,2,27.5,29.4,68,21,0,16,0,0,967,0.9,277
2024-07-12:05,07:47:46,Grude,03:20,18:28,d,65,580,213,213,15.48,-67.5,2,27.5,29.4,68,21,0,16,0,0,967,0.9,277
2024-07-12:05,08:02:46,Grude,03:20,18:28,d,85,721,398,398,26.22,-67.5,3,27.5,29.4,68,21,0,16,0,0,967,0.9,277
2024-07-12:06,08:17:46,Grude,03:20,18:28,d,85,721,398,398,26.22,-56.2,3,27.5,29.4,68,21,0,16,0,0,967,0.9,277
2024-07-12:06,08:32:46,Grude,03:20,18:28,d,85,721,398,398,26.22,-56.2,3,29.5,31.4,57,20,0,16,0,0,968,0.4,212
2024-07-12:06,08:47:46,Grude,03:20,18:28,d,85,721,398,398,26.22,-56.2,3,29.5,31.4,57,20,0,16,0,0,968,0.4,212
2024-07-12:06,09:02:46,Grude,03:20,18:28,d,100,806,580,580,37.16,-56.2,4,29.5,31.5,58,20.2,0,16,0,0,968,0.5,205
2024-07-12:07,09:17:46,Grude,03:20,18:28,d,100,806,580,580,37.16,-45,4,29.5,31.5,58,20.2,0,16,0,0,968,0.5,205
2024-07-12:07,09:32:46,Grude,03:20,18:28,d,100,806,580,580,37.16,-45,4,31.4,33.7,52,20.3,0,16,0,0,967,1.4,154
2024-07-12:07,09:47:46,Grude,03:20,18:28,d,100,806,580,580,37.16,-45,4,31.4,33.7,52,20.3,0,16,0,0,967,1.4,154
2024-07-12:07,10:02:46,Grude,03:20,18:28,d,110,859,741,741,47.94,-45,6,31.4,33.7,52,20.3,0,16,0,0,967,1.4,154
2024-07-12:07,10:17:46,Grude,03:20,18:28,d,110,859,741,741,47.94,-45,6,31.4,33.7,52,20.3,0,16,0,0,967,1.4,154
