Datum i vrijeme,Vrijeme,Naziv grada,Izlazak sunca (UTC),Zalazak sunca (UTC),Dio dana (d = dan / n = noc),Difuzno horizontalno suncevo zracenje (W/m^2),Direktno normalno suncevo zracenje (W/m^2),Globalno horizontalno suncevo zracenje (W/m^2),Procijenjeno_suncevo_zracenje,Solarni elevacioni ugao (stepeni),Solarni satni ugao (stepeni),UV indeks,Temperatura,Aparentna temperatura (°C),Relativna vlaznost (%),Temperatura rose (°C),Oblacnost (%),Vidljivost (km),Padavine (mm/h),Snijeg (mm/h),Pritisak (mb),Brzina vjetra (m/s),Smjer vjetra (stepeni)
2024-07-16:04,07:30:26,Grude,03:24,18:26,d,64,571,205,205,15,-78.8,2,26.9,27.2,49,15.1,0,16,0,0,966,1.4,311
2024-07-16:04,07:30:55,Grude,03:24,18:26,d,64,571,205,205,15,-78.8,2,26.9,27.2,49,15.1,0,16,0,0,966,1.4,311
2024-07-16:05,07:45:55,Grude,03:24,18:26,d,64,571,205,205,15,-67.5,2,26.9,27.2,49,15.1,0,16,0,0,966,1.4,311
2024-07-16:05,08:00:55,Grude,03:24,18:26,d,85,717,390,390,25.76,-67.5,3,26.9,27.2,49,15.1,0,16,0,0,966,1.4,311
2024-07-16:06,08:15:55,Grude,03:24,18:26,d,85,717,390,390,25.76,-56.2,3,26.9,27.2,49,15.1,0,16,0,0,966,1.4,311
2024-07-16:06,08:30:55,Grude,03:24,18:26,d,85,717,390,390,25.76,-56.2,3,29.4,29.1,40,14.2,0,16,0,0,966,1.2,295
2024-07-16:06,08:45:55,Grude,03:24,18:26,d,85,717,390,390,25.76,-56.2,3,29.4,29.1,40,14.2,0,16,0,0,966,1.2,295
2024-07-16:06,09:00:55,Grude,03:24,18:26,d,99,803,573,573,36.7,-56.2,4,29.3,28.9,40,14.3,0,16,0,0,966,1.1,289
2024-07-16:06,09:15:55,Grude,03:24,18:26,d,99,803,573,573,36.7,-56.2,4,29.3,28.9,40,14.3,0,16,0,0,966,1.1,289
2024-07-16:07,09:30:55,Grude,03:24,18:26,d,99,803,573,573,36.7,-45,4,32,31.3,34,14.1,0,16,0,0,966,0.9,279
